SY0705,SY07,Ariha
SY0704,SY07,Jisr-Ash-Shugur
SY0703,SY07,Harim
SY0700,SY07,Idleb
SY0702,SY07,Al Ma'ra
SY0802,SY08,Quamishli
SY0803,SY08,Al Malika
SY0804,SY08,Ras Al Ain
SY0603,SY06,Al Hafa
SY0600,SY06,Lattakia
SY0204,SY02,A'zaz
SY0800,SY08,Al-Hasakeh
SY1103,SY11,Al-Thwarah
SY1102,SY11,Tell Abiad
SY1101,SY11,Ar-Raqqa
SY1303,SY13,Shahba
SY0604,SY06,Al Qardaha
SY0602,SY06,Jablah
SY0202,SY02,Al Bab
SY0200,SY02,Jebel Saman
SY0207,SY02,As Safira
SY0203,SY02,Afrin
SY0206,SY02,Ain Al Arab
SY0208,SY02,Jarablus
SY0205,SY02,Menbij
SY0503,SY05,As Salamiyeh
SY0505,SY05,Muhradah
SY0502,SY05,As Suqaylabiyah
SY0501,SY05,Hama
SY0504,SY05,Masyaf
SY0404,SY04,Ar Rastan
SY0406,SY04,Al Makhrim
SY0405,SY04,Tadmor
SY0403,SY04,Tall Kalakh
SY0402,SY04,Al Quasir
SY0401,SY04,Homs
SY1203,SY12,Izra'
SY1202,SY12,As Sanamayn
SY1200,SY12,Dar'a
SY0902,SY09,Abu Kamal
SY0903,SY09,Al Mayadin
SY0901,SY09,Deir-ez-Zor
SY0304,SY03,At Tall
SY0307,SY03,Az Zabdani
SY0303,SY03,Al Qutayfah
SY0306,SY03,An Nabk
SY0309,SY03,Darayya
SY0302,SY03,Duma
SY0308,SY03,Qatana
SY0301,SY03,Rural Damascus
SY0305,SY03,Yabrud
SY1005,SY10,Sheikh Badr
SY1002,SY10,Banyas
SY1004,SY10,Dreikish
SY1003,SY10,Safita
SY1000,SY10,Tartous
SY0100,SY01,Damascus
SY1302,SY13,Salkhad
SY1300,SY13,As-Sweida
SY1402,SY14,Al Fiq
SY1400,SY14,Quneitra
